,Classe,Chapeau,Surface Chapeau,Couleur Chapeau,bruises,Odeur,Lamelles,Espacement des lamelles,Taille des lamelles,Couleur des lamelles,Tige,Surface au dessus de anneau,Surface sous anneau,Couleur sur anneau,Couleur sous anneau,Couleur du voile,Nombre anneaux,Type anneau,Coleur des spores,Population,Habitat
90,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Urbains
91,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
92,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
93,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
94,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
95,Comestible,Convexe,Lisse,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
96,Comestible,Plat,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
97,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
98,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
99,Comestible,Convexe,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
100,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Rose,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
101,Comestible,Cloche,Lisse,Jaune,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
102,Comestible,Plat,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
103,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Chemins
104,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
105,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
106,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Herbes
107,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
108,Comestible,Cloche,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
109,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
110,Comestible,Convexe,Lisse,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
111,Comestible,,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Urbains
112,Comestible,Convexe,Fibreux,Blanc,True,Amande,Libre,Eloigné,Etroit,Blanc,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Violet,Plusieurs,Bois
113,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
114,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
115,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
116,Comestible,,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Urbains
117,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Herbes
118,Comestible,Convexe,Lisse,Jaune,True,Anis,Libre,Eloigné,Etroit,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Violet,Plusieurs,Bois
119,Comestible,,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Urbains
120,Toxique,Convexe,Lisse,Blanc,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Herbes
121,Comestible,Convexe,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
122,Toxique,Plat,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Herbes
123,Comestible,Plat,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
124,Comestible,Convexe,Lisse,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
125,Comestible,Convexe,Lisse,Blanc,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
126,Comestible,Cloche,Lisse,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
127,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Chocolat,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
128,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
129,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
130,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
131,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
132,Comestible,Plat,Lisse,Blanc,True,Anis,Libre,Eloigné,Etroit,Blanc,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Violet,Plusieurs,Bois
133,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
134,Comestible,Plat,Lisse,Blanc,True,Amande,Libre,Eloigné,Etroit,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
135,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
136,Comestible,Plat,Fibreux,Blanc,True,Anis,Libre,Eloigné,Etroit,Blanc,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
137,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
138,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Herbes
139,Comestible,Cloche,Lisse,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
140,Comestible,Convexe,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Chemins
141,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
